Date,open,high,low,close,volume,BuySignal
06-Aug-10,13,14.08,12.99,14,10678500,0
09-Aug-10,14,14,13.7,14,1819500,0
10-Aug-10,13.77,13.84,13.58,13.6,1579300,0
11-Aug-10,13.25,13.38,12.45,12.75,2588200,0
12-Aug-10,12.26,12.51,12.1,12.39,1780300,0
13-Aug-10,12.25,12.53,11.85,12,957600,0
16-Aug-10,11.79,12.23,11.69,11.78,551600,1
17-Aug-10,11.86,12.3,11.75,12.22,1086700,0
18-Aug-10,12.08,12.6,12,12,1010600,0
19-Aug-10,11.95,12.1,11.3104,11.55,746000,0
20-Aug-10,11.45,11.5,11.03,11.15,450600,0
23-Aug-10,11.28,11.5,10.46,10.98,761800,0
24-Aug-10,10.76,11.3,10.5,10.68,746700,1
25-Aug-10,10.5,11.13,10.23,10.75,1112200,1
26-Aug-10,10.94,11.15,10.8,11,581400,1
27-Aug-10,11.15,11.49,10.99,11.11,370900,0
30-Aug-10,11.01,11.27,11.01,11.095,226900,0
31-Aug-10,11.01,11.23,10.87,11.075,236000,1
01-Sep-10,11.08,11.95,10.76,11.73,412800,1
02-Sep-10,11.08,11.91,11.08,11.87,98500,1
03-Sep-10,11.9,12.32,11.58,11.89,231400,0
07-Sep-10,12,12.36,11.78,12.03,468400,1
08-Sep-10,11.49,12.18,11.42,12.16,1483700,0
09-Sep-10,12.21,12.625,11.51,11.9,235600,1
10-Sep-10,11.98,12.125,11.81,11.98,362900,0
13-Sep-10,12.09,12.24,11.8401,11.94,303900,1
14-Sep-10,11.85,12.25,11.85,12.24,250600,1
15-Sep-10,12.52,12.92,12.3501,12.47,561100,0
16-Sep-10,12.46,12.64,12.01,12.02,323300,1
17-Sep-10,12.01,12.25,11.82,12.08,252300,0
20-Sep-10,12.21,12.97,12.1,12.69,404100,0
21-Sep-10,12.61,12.85,12.36,12.51,178800,0
22-Sep-10,12.4,12.6,12.01,12.18,184600,0
23-Sep-10,12,12.49,11.89,12,320800,1
24-Sep-10,12.1,12.37,11.82,12.22,146900,0
27-Sep-10,12.17,12.39,12.02,12.25,186600,1
28-Sep-10,12.21,12.62,12.11,12.61,168800,0
29-Sep-10,12.63,12.88,12.49,12.55,238500,0
30-Sep-10,12.62,12.95,12.26,12.39,196800,0
01-Oct-10,12.47,12.77,12.26,12.36,170500,0
04-Oct-10,12.38,12.7099,12.25,12.35,140700,0
05-Oct-10,12.43,12.69,12.22,12.35,256900,1
06-Oct-10,12.32,12.49,12.13,12.47,90400,0
07-Oct-10,12.5,12.5,11.61,11.85,252800,1
08-Oct-10,11.8,12.11,11.72,11.98,251900,0
11-Oct-10,11.95,12.15,11.91,12.05,63700,1
12-Oct-10,12.01,12.3,11.9118,12.3,59600,0
13-Oct-10,12.31,12.33,12.02,12.07,222000,1
14-Oct-10,12.07,12.23,12,12.15,223700,0
15-Oct-10,12.35,12.35,11.855,11.94,396200,0
18-Oct-10,11.96,12.29,11.65,12.24,53500,0
19-Oct-10,12.06,12.25,12.01,12.11,130100,1
20-Oct-10,12.17,12.45,11.52,12.2,124800,1
21-Oct-10,12.11,12.4,12.11,12.25,58800,1
22-Oct-10,12.2,12.61,12.18,12.33,94200,0
25-Oct-10,12.201,12.59,12.201,12.37,128300,0
26-Oct-10,12.25,12.49,11.91,12.28,186100,1
27-Oct-10,12.28,12.8,12.28,12.77,263800,1
28-Oct-10,12.82,13.35,12.6,13.19,409900,0
29-Oct-10,13.16,13.47,12.88,13.19,434600,0
01-Nov-10,13.27,13.5,12.56,12.69,432100,1
02-Nov-10,12.9,13.43,12.47,13.27,300900,1
03-Nov-10,13.21,13.8,13.11,13.6356,359900,1
04-Nov-10,13.74,14,13.5304,13.97,274600,0
05-Nov-10,13.9,14,13.64,13.97,175600,0
08-Nov-10,14,14,13.61,13.77,179900,0
