Date,open,high,low,close,volume,C-O,BuySignal
14-07-20,116.4,120.8,115.49,120.45,2583212,4.05,1
15-07-20,121.96,122.97,120.25,121.83,2038144,-0.13,0
16-07-20,119.23,121.7,118.53,121.13,1534740,1.9,1
17-07-20,122.67,122.82,120.66,122.71,2173176,0.04,0
20-07-20,121.89,124.01,120.41,123.56,1725620,1.67,0
21-07-20,125,126.12,122.95,123.49,2286285,-1.51,0
22-07-20,122.97,124.19,120.89,121.36,2333631,-1.61,0
23-07-20,121.58,121.6699,117.31,119.18,2605380,-2.4,0
24-07-20,116.86,118.04,114.38,115.75,3147650,-1.11,0
27-07-20,117.05,120.38,116.29,120.24,2978551,3.19,0
28-07-20,116.5681,119,115,115.24,6709086,-1.3281,1
29-07-20,115.75,119.75,115.75,119.09,2861593,3.34,0
30-07-20,116.89,117.87,115.66,117.22,3058038,0.33,1
31-07-20,118.36,118.63,114.77,117.53,3344893,-0.83,0
03-08-20,118.41,119.75,117.8852,119.15,1606232,0.74,1
04-08-20,119.47,121.555,119.29,120.91,2327790,1.44,0
05-08-20,118.18,120.05,117.25,119.86,2182880,1.68,1
06-08-20,119.57,122.58,119.05,122.45,2338055,2.88,0
07-08-20,121.89,122.67,119.4,120.71,1842737,-1.18,0
10-08-20,120.52,121.84,119.69,121.39,1224424,0.87,0
11-08-20,122.18,124.48,121.15,121.33,1764294,-0.85,1
12-08-20,122.14,125.41,121.86,124.91,1735528,2.77,0
13-08-20,124.3,124.5599,122.52,122.74,1096809,-1.56,1
14-08-20,122.36,123.66,122.18,123.04,739346,0.68,0
17-08-20,124.44,125.02,123.73,124.8,1142612,0.36,0
18-08-20,125.94,126.2,122.89,124.38,2000757,-1.56,0
19-08-20,125.1,125.56,123.12,123.75,1560994,-1.35,0
20-08-20,122.07,122.76,120.61,121.45,1112967,-0.62,1
21-08-20,120.93,121.5,119.8,121.5,1375995,0.57,0
24-08-20,122.7,123.85,122.16,123.78,1042481,1.08,1
25-08-20,125.92,127.8,124.92,127.31,2054998,1.39,1
26-08-20,127.2,128.422,126.1137,127.53,1422861,0.33,0
27-08-20,128.14,128.35,125.44,126.05,1376391,-2.09,1
28-08-20,125.93,127.45,125.26,127.23,1736638,1.3,0
31-08-20,126.96,127.71,124.85,125.76,2257594,-1.2,1
01-09-20,126,129.02,125.95,128.2,2090576,2.2,1
