,open,high,low,close,volume
2020-07-14,116.4,120.8,115.49,120.45,2583212
2020-07-15,121.96,122.97,120.25,121.83,2038144
2020-07-16,119.23,121.7,118.53,121.13,1534740
2020-07-17,122.67,122.82,120.66,122.71,2173176
2020-07-20,121.89,124.01,120.41,123.56,1725620
2020-07-21,125.0,126.12,122.95,123.49,2286285
2020-07-22,122.97,124.19,120.89,121.36,2333631
2020-07-23,121.58,121.6699,117.31,119.18,2605380
2020-07-24,116.86,118.04,114.38,115.75,3147650
2020-07-27,117.05,120.38,116.29,120.24,2978551
2020-07-28,116.5681,119.0,115.0,115.24,6709086
2020-07-29,115.75,119.75,115.75,119.09,2861593
2020-07-30,116.89,117.87,115.66,117.22,3058038
2020-07-31,118.36,118.63,114.77,117.53,3344893
2020-08-03,118.41,119.75,117.8852,119.15,1606232
2020-08-04,119.47,121.555,119.29,120.91,2327790
2020-08-05,118.18,120.05,117.25,119.86,2182880
2020-08-06,119.57,122.58,119.05,122.45,2338055
2020-08-07,121.89,122.67,119.4,120.71,1842737
2020-08-10,120.52,121.84,119.69,121.39,1224424
2020-08-11,122.18,124.48,121.15,121.33,1764294
2020-08-12,122.14,125.41,121.86,124.91,1735528
2020-08-13,124.3,124.5599,122.52,122.74,1096809
2020-08-14,122.36,123.66,122.18,123.04,739346
2020-08-17,124.44,125.02,123.73,124.8,1142612
2020-08-18,125.94,126.2,122.89,124.38,2000757
2020-08-19,125.1,125.56,123.12,123.75,1560994
2020-08-20,122.07,122.76,120.61,121.45,1112967
2020-08-21,120.93,121.5,119.8,121.5,1375995
2020-08-24,122.7,123.85,122.16,123.78,1042481
2020-08-25,125.92,127.8,124.92,127.31,2054998
2020-08-26,127.2,128.422,126.1137,127.53,1422861
2020-08-27,128.14,128.35,125.44,126.05,1376391
2020-08-28,125.93,127.45,125.26,127.23,1736638
2020-08-31,126.96,127.71,124.85,125.76,2257594
2020-09-01,126.0,129.02,125.95,128.2,2090576
2020-09-02,129.68,132.945,128.7,132.1,1541448
2020-09-03,130.99,130.99,125.05,126.1,2010064
2020-09-04,126.37,127.08,122.32,126.33,1607662
2020-09-08,121.02,122.65,119.21,119.72,2541781
2020-09-09,122.17,125.63,121.395,124.24,2269290
2020-09-10,125.2,127.77,122.55,123.1,1487822
2020-09-11,124.47,126.65,123.155,124.75,1397478
2020-09-14,126.17,127.62,124.48,125.7,1538829
2020-09-15,127.39,128.8,126.82,127.41,1601386
2020-09-16,129.0,131.31,128.36,128.59,2053261
2020-09-17,123.62,128.14,122.86,127.76,2066306
2020-09-18,128.68,128.99,123.39,126.09,4200604
2020-09-21,122.95,123.51,119.28,121.35,2024521
2020-09-22,122.79,123.48,120.69,122.63,1606958
2020-09-23,123.17,124.0,119.43,119.94,1595706
2020-09-24,118.64,121.22,118.15,119.16,1810500
2020-09-25,118.56,120.17,117.25,119.83,2039641
2020-09-28,122.46,124.17,121.905,124.0,2143414
2020-09-29,126.1,126.14,123.16,123.29,1626650
2020-09-30,123.87,126.77,123.22,124.81,2005227
2020-10-01,129.63,132.18,128.0,130.99,3429335
2020-10-02,127.17,130.48,126.64,127.39,2130571
2020-10-05,129.48,132.07,129.0,132.0,2269271
2020-10-06,131.7,135.01,130.39,130.9,2187538
2020-10-07,133.33,134.91,133.005,133.6,1838974
2020-10-08,135.07,135.92,134.13,134.83,2208206
2020-10-09,142.4807,145.15,138.8,141.53,5037614
2020-10-12,143.0,143.25,140.41,142.08,2861315
2020-10-13,141.0,141.99,136.58,136.84,2605447
2020-10-14,136.8,138.1,135.835,137.11,2318114
2020-10-15,134.59,137.59,133.69,136.87,1556938
2020-10-16,139.33,139.67,136.96,137.23,1300903
2020-10-19,137.63,138.85,135.53,136.33,1606896
2020-10-20,137.67,137.8,134.89,135.21,1353879
